               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.020685,           0.0080579,          0.00016175,             0.92233,             0.88069,              0.9289,             0.68285,            0.026636,           0.0073991,          0.00015643,            0.006337,            0.006337,            0.006337
                 113,            0.020651,           0.0080591,          0.00016099,             0.92056,             0.88085,             0.92821,             0.68222,            0.026607,           0.0074033,          0.00015619,            0.006304,            0.006304,            0.006304
                 114,            0.020558,           0.0079977,          0.00015686,             0.91534,             0.88207,             0.92774,              0.6833,            0.026587,           0.0074049,           0.0001558,            0.006271,            0.006271,            0.006271
                 115,            0.020688,           0.0080199,          0.00015658,             0.91409,             0.88875,             0.92942,             0.68302,            0.026605,           0.0074261,          0.00015121,            0.006238,            0.006238,            0.006238
                 116,             0.02068,           0.0080397,          0.00015159,             0.91897,             0.88249,             0.92914,             0.68496,             0.02657,           0.0074248,          0.00014163,            0.006205,            0.006205,            0.006205
                 117,            0.020699,           0.0079805,          0.00015835,             0.91894,             0.88217,             0.92858,             0.68379,            0.026551,           0.0074287,          0.00013849,            0.006172,            0.006172,            0.006172
                 118,            0.020407,           0.0080108,          0.00015036,             0.91842,               0.876,             0.92723,             0.68333,            0.026552,           0.0074436,          0.00013751,            0.006139,            0.006139,            0.006139
                 119,            0.020498,           0.0080274,          0.00015662,             0.91635,              0.8766,              0.9271,             0.68305,            0.026559,           0.0074601,          0.00013779,            0.006106,            0.006106,            0.006106
                 120,            0.020541,           0.0078737,          0.00015487,             0.91799,             0.87776,              0.9268,             0.68361,            0.026546,           0.0074617,          0.00013731,            0.006073,            0.006073,            0.006073
                 121,            0.020382,           0.0079132,          0.00015056,             0.91941,             0.87781,             0.92709,             0.68342,            0.026539,           0.0074769,          0.00013879,             0.00604,             0.00604,             0.00604
                 122,            0.020409,           0.0080372,          0.00015036,             0.91908,             0.87686,             0.92673,             0.68335,            0.026537,            0.007487,          0.00013827,            0.006007,            0.006007,            0.006007
                 123,            0.020395,           0.0079589,          0.00015041,             0.92181,             0.87173,             0.92569,             0.68355,            0.026547,           0.0074938,          0.00013766,            0.005974,            0.005974,            0.005974
                 124,             0.02028,           0.0079452,          0.00014776,             0.92233,             0.87353,             0.92637,             0.68406,            0.026544,           0.0074997,          0.00013787,            0.005941,            0.005941,            0.005941
                 125,            0.020198,            0.007904,          0.00015091,             0.92279,             0.87182,             0.92595,             0.68332,            0.026542,            0.007495,          0.00013782,            0.005908,            0.005908,            0.005908
                 126,            0.020043,           0.0078988,          0.00014913,             0.92734,             0.87295,             0.92763,             0.68382,            0.026535,           0.0074949,          0.00013653,            0.005875,            0.005875,            0.005875
                 127,             0.02009,           0.0078395,          0.00014896,             0.92444,             0.87416,             0.92679,             0.68323,            0.026508,           0.0074884,          0.00013622,            0.005842,            0.005842,            0.005842
                 128,            0.019797,            0.007752,           0.0001471,             0.92608,             0.87295,             0.92671,             0.68435,            0.026492,           0.0074924,          0.00013616,            0.005809,            0.005809,            0.005809
                 129,            0.019976,           0.0078138,          0.00014841,              0.9268,             0.87356,             0.92644,             0.68416,            0.026494,           0.0074964,          0.00013655,            0.005776,            0.005776,            0.005776
                 130,            0.019913,           0.0078147,           0.0001485,             0.92167,              0.8766,             0.92729,             0.68449,            0.026484,           0.0074948,          0.00013569,            0.005743,            0.005743,            0.005743
                 131,            0.019949,           0.0077387,          0.00014103,             0.92219,             0.87896,             0.92846,              0.6846,            0.026474,           0.0075021,          0.00013465,             0.00571,             0.00571,             0.00571
                 132,            0.019754,           0.0077216,           0.0001434,              0.9215,             0.88328,             0.92929,             0.68474,            0.026477,           0.0075067,          0.00013432,            0.005677,            0.005677,            0.005677
                 133,            0.020044,           0.0077942,          0.00014615,             0.91903,             0.88313,             0.92662,             0.68416,            0.026475,           0.0075159,          0.00013469,            0.005644,            0.005644,            0.005644
                 134,            0.019754,           0.0078483,          0.00014423,             0.91778,              0.8845,              0.9272,             0.68497,            0.026481,           0.0075166,          0.00013444,            0.005611,            0.005611,            0.005611
                 135,            0.019762,           0.0078689,          0.00014887,              0.9199,             0.87903,             0.92758,             0.68546,            0.026482,           0.0075199,          0.00013405,            0.005578,            0.005578,            0.005578
                 136,            0.019687,           0.0077359,          0.00014375,             0.92178,             0.87781,             0.92636,             0.68514,            0.026495,           0.0075239,           0.0001346,            0.005545,            0.005545,            0.005545
                 137,            0.019746,           0.0076126,          0.00014297,             0.92263,              0.8772,             0.92659,             0.68578,            0.026514,           0.0075287,          0.00013531,            0.005512,            0.005512,            0.005512
                 138,            0.019605,           0.0076329,          0.00014654,             0.92326,             0.88085,             0.92707,             0.68485,            0.026517,           0.0075319,          0.00013532,            0.005479,            0.005479,            0.005479
                 139,            0.019755,           0.0076882,          0.00014418,             0.92414,             0.88121,             0.92674,             0.68498,            0.026521,           0.0075341,          0.00013484,            0.005446,            0.005446,            0.005446
                 140,            0.019548,           0.0076602,          0.00013974,             0.92586,             0.88066,             0.92657,             0.68519,            0.026525,           0.0075368,          0.00013472,            0.005413,            0.005413,            0.005413
                 141,            0.019529,           0.0074684,          0.00013641,             0.92615,             0.87964,             0.92652,             0.68555,            0.026524,            0.007542,          0.00013487,             0.00538,             0.00538,             0.00538
                 142,             0.01954,           0.0077258,          0.00013608,             0.92579,             0.87964,               0.927,             0.68569,            0.026517,           0.0075406,          0.00013459,            0.005347,            0.005347,            0.005347
                 143,            0.019454,           0.0075537,          0.00014093,             0.92618,             0.87964,             0.92717,             0.68567,            0.026509,           0.0075342,            0.000134,            0.005314,            0.005314,            0.005314
